trialnum,filename,facehouse,girlboy
124,visual\face_house\faces\Joe_3.jpg,1,1
125,visual\face_house\faces\Estelle_3.jpg,1,0
126,visual\face_house\faces\Estelle_3.jpg,1,0
127,visual\face_house\faces\Blake_3.jpg,1,1
128,visual\face_house\houses\house4.3.jpg,0,1
129,visual\face_house\houses\house2.3.jpg,0,1
130,visual\face_house\houses\house4.3.jpg,0,1
131,visual\face_house\faces\Frank_3.jpg,1,1
132,visual\face_house\houses\house7.3.jpg,0,1
133,visual\face_house\faces\Tom_3.jpg,1,1
134,visual\face_house\houses\house11.3.jpg,0,1
135,visual\face_house\faces\Joe_3.jpg,1,1
136,visual\face_house\houses\house1.3.jpg,0,1
137,visual\face_house\houses\house6.3.jpg,0,1
138,visual\face_house\faces\Tim_3.jpg,1,1
139,visual\face_house\houses\house10.3.jpg,0,1
140,visual\face_house\faces\Joan_3.jpg,1,0
141,visual\face_house\houses\house8.3.jpg,0,0
142,visual\face_house\faces\Wallace_3.jpg,1,1
143,visual\face_house\faces\Janie_3.jpg,1,0
144,visual\face_house\faces\Estelle_3.jpg,1,0
145,visual\face_house\faces\Annie_3.jpg,1,0
146,visual\face_house\houses\house10.3.jpg,0,0
147,visual\face_house\houses\house3.3.jpg,0,0
148,visual\face_house\faces\Blake_3.jpg,1,1
149,visual\face_house\faces\Frank_3.jpg,1,1
150,visual\face_house\houses\house4.3.jpg,0,1
151,visual\face_house\faces\Don_3.jpg,1,1
152,visual\face_house\faces\Tim_3.jpg,1,1
153,visual\face_house\faces\Joe_3.jpg,1,1
154,visual\face_house\houses\house10.3.jpg,0,1
155,visual\face_house\faces\Blake_3.jpg,1,1
156,visual\face_house\faces\Joe_3.jpg,1,1
157,visual\face_house\faces\Frank_3.jpg,1,1
158,visual\face_house\faces\Joan_3.jpg,1,0
159,visual\face_house\faces\Annie_3.jpg,1,0
160,visual\face_house\houses\house5.3.jpg,0,0
161,visual\face_house\faces\Blake_3.jpg,1,1
162,visual\face_house\faces\Frank_3.jpg,1,1
163,visual\face_house\houses\house5.3.jpg,0,1
164,visual\face_house\houses\house3.3.jpg,0,1
165,visual\face_house\houses\house3.3.jpg,0,1
166,visual\face_house\faces\Joe_3.jpg,1,1
167,visual\face_house\houses\house6.3.jpg,0,1
168,visual\face_house\faces\Don_3.jpg,1,1
169,visual\face_house\faces\Tim_3.jpg,1,1
170,visual\face_house\houses\house7.3.jpg,0,1
171,visual\face_house\houses\house12.3.jpg,0,1
172,visual\face_house\houses\house5.3.jpg,0,1
173,visual\face_house\faces\Frank_3.jpg,1,1
174,visual\face_house\houses\house1.3.jpg,0,1
175,visual\face_house\faces\Joe_3.jpg,1,1
176,visual\face_house\houses\house9.3.jpg,0,1
177,visual\face_house\faces\Wallace_3.jpg,1,1
178,visual\face_house\faces\Jodi_3.jpg,1,0
179,visual\face_house\faces\Tim_3.jpg,1,1
180,visual\face_house\houses\house2.3.jpg,0,1
181,visual\face_house\houses\house5.3.jpg,0,1
182,visual\face_house\faces\Blake_3.jpg,1,1
183,visual\face_house\faces\Estelle_3.jpg,1,0
184,visual\face_house\houses\house6.3.jpg,0,0
185,visual\face_house\faces\Jodi_3.jpg,1,0
186,visual\face_house\faces\Blake_3.jpg,1,1
187,visual\face_house\faces\Joan_3.jpg,1,0
188,visual\face_house\houses\house1.3.jpg,0,0
189,visual\face_house\houses\house11.3.jpg,0,0
190,visual\face_house\faces\Annie_3.jpg,1,0
191,visual\face_house\houses\house6.3.jpg,0,0
192,visual\face_house\faces\Jodi_3.jpg,1,0
193,visual\face_house\houses\house6.3.jpg,0,0
194,visual\face_house\faces\Janie_3.jpg,1,0
195,visual\face_house\houses\house8.3.jpg,0,0
196,visual\face_house\faces\Annie_3.jpg,1,0
197,visual\face_house\houses\house11.3.jpg,0,0
198,visual\face_house\faces\Frank_3.jpg,1,1
199,visual\face_house\houses\house9.3.jpg,0,1
200,visual\face_house\faces\Blake_3.jpg,1,1
201,visual\face_house\faces\Tom_3.jpg,1,1
202,visual\face_house\faces\Wallace_3.jpg,1,1
203,visual\face_house\faces\Annie_3.jpg,1,0
204,visual\face_house\houses\house3.3.jpg,0,0
205,visual\face_house\houses\house10.3.jpg,0,0
206,visual\face_house\faces\Wallace_3.jpg,1,1
207,visual\face_house\houses\house4.3.jpg,0,1
208,visual\face_house\faces\Don_3.jpg,1,1
209,visual\face_house\faces\Frank_3.jpg,1,1
210,visual\face_house\faces\Tim_3.jpg,1,1
211,visual\face_house\faces\Joe_3.jpg,1,1
212,visual\face_house\faces\Tom_3.jpg,1,1
213,visual\face_house\faces\Joan_3.jpg,1,0
214,visual\face_house\houses\house1.3.jpg,0,0
215,visual\face_house\houses\house12.3.jpg,0,0
216,visual\face_house\faces\Wallace_3.jpg,1,1
217,visual\face_house\faces\Tim_3.jpg,1,1
218,visual\face_house\houses\house1.3.jpg,0,1
219,visual\face_house\faces\Frank_3.jpg,1,1
220,visual\face_house\faces\Joe_3.jpg,1,1
221,visual\face_house\houses\house5.3.jpg,0,1
222,visual\face_house\faces\Tom_3.jpg,1,1
223,visual\face_house\houses\house1.3.jpg,0,1
224,visual\face_house\houses\house1.3.jpg,0,1
225,visual\face_house\faces\Don_3.jpg,1,1
226,visual\face_house\faces\Wallace_3.jpg,1,1
227,visual\face_house\faces\Don_3.jpg,1,1
228,visual\face_house\faces\Jodi_3.jpg,1,0
229,visual\face_house\faces\Estelle_3.jpg,1,0
230,visual\face_house\houses\house4.3.jpg,0,0
