timestamps,TP9,AF7,AF8,TP10,Marker0
1594888417.087,-63.477,-4.395,-206.543,-70.801,0
1594888417.091,-51.270,-0.488,-196.777,-72.266,0
1594888417.095,-51.758,13.672,-202.148,-72.266,0
1594888417.099,-56.641,14.648,-244.629,-74.219,0
1594888417.103,-53.223,12.207,-164.062,-72.266,0
1594888417.107,-48.828,12.207,-18.066,-69.336,0
1594888417.111,-49.316,0.000,-139.160,-61.523,0
1594888417.114,-60.547,-6.348,-433.594,-53.711,0
1594888417.118,-68.848,2.441,-246.094,-50.781,0
1594888417.122,-63.477,5.371,11.719,-50.781,0
1594888417.126,-65.918,1.465,-7.324,-54.688,0
1594888417.130,-87.402,-3.906,-293.945,-51.270,0
1594888417.125,-95.703,7.812,-326.172,-48.828,0
1594888417.129,-90.332,9.766,-141.113,-52.734,0
1594888417.133,-83.008,1.465,1.953,-53.223,0
1594888417.137,-86.426,-1.465,-167.480,-60.547,0
1594888417.141,-101.074,-11.230,-508.789,-65.918,0
1594888417.145,-98.145,-6.836,-359.375,-70.312,0
1594888417.149,-83.008,1.465,-223.145,-74.219,0
1594888417.152,-74.219,-0.488,-215.820,-71.289,0
1594888417.156,-75.195,7.324,-250.977,-60.547,0
1594888417.160,-81.543,3.906,-461.914,-59.570,0
1594888417.164,-72.266,8.301,-202.148,-63.965,0
1594888417.168,-59.570,15.625,91.309,-61.523,0
1594888417.181,-66.406,9.766,8.301,-60.059,0
1594888417.185,-78.125,7.812,-111.328,-57.617,0
1594888417.189,-72.266,10.742,-94.727,-60.547,0
1594888417.193,-67.383,8.301,84.473,-72.266,0
1594888417.197,-77.637,6.348,-5.859,-76.660,0
1594888417.201,-93.750,0.000,-231.934,-79.102,0
1594888417.205,-93.262,-0.977,-314.453,-75.684,0
1594888417.208,-83.984,8.301,-220.703,-67.383,0
1594888417.212,-85.449,4.883,-169.922,-68.848,0
1594888417.216,-94.727,0.488,-218.262,-65.430,0
1594888417.220,-96.680,0.977,-78.125,-61.523,0
1594888417.224,-89.844,-3.418,-110.352,-67.383,0
1594888417.219,-81.543,6.836,-73.730,-58.594,0
1594888417.223,-85.449,15.137,-139.648,-42.969,0
1594888417.227,-92.773,2.930,-270.020,-44.922,0
1594888417.231,-78.613,-10.742,-250.488,-49.805,0
1594888417.235,-69.824,-5.371,-372.559,-47.852,0
1594888417.239,-77.637,7.324,-346.191,-38.086,0
1594888417.243,-86.426,12.695,-162.598,-42.480,0
1594888417.246,-78.125,15.625,56.152,-49.805,0
1594888417.250,-66.895,11.230,-2.441,-41.992,0
1594888417.254,-77.148,0.488,-368.652,-41.016,0
1594888417.258,-85.449,10.742,-217.285,-43.945,0
1594888417.262,-88.867,14.160,-10.742,-45.410,0
1594888417.275,-85.938,13.672,62.500,-59.570,0
1594888417.279,-76.660,14.648,-59.570,-61.035,0
1594888417.283,-81.055,22.949,-152.344,-57.129,0
1594888417.287,-74.707,23.926,28.320,-62.988,0
1594888417.291,-60.547,24.414,62.988,-58.594,0
1594888417.295,-62.988,26.367,-43.945,-52.246,0
1594888417.299,-71.777,17.578,-279.297,-57.129,0
1594888417.302,-70.801,29.297,-327.148,-55.664,0
1594888417.306,-66.406,37.598,-64.453,-70.312,0
1594888417.310,-67.871,30.273,64.453,-70.312,0
1594888417.314,-75.195,29.297,-19.531,-60.547,0
1594888417.318,-85.938,28.320,-184.082,-63.965,0
1594888417.312,-79.590,41.992,-19.531,-67.383,0
1594888417.316,-70.312,34.668,72.266,-65.918,0
1594888417.320,-77.148,25.391,-103.027,-55.664,0
1594888417.324,-87.402,31.738,-255.859,-55.664,0
1594888417.328,-86.914,20.508,-448.242,-45.898,0
1594888417.332,-83.496,20.020,-320.801,-45.410,0
1594888417.336,-89.844,8.789,-157.227,-58.105,0
1594888417.339,-94.238,-0.977,-3.418,-63.965,0
1594888417.343,-96.680,-9.277,27.832,-63.965,0
1594888417.347,-91.309,-20.508,-353.027,-46.387,0
1594888417.351,-83.008,-12.207,-224.121,-40.527,0
1594888417.355,-81.543,-28.809,-133.789,-46.387,0
1594888417.369,-74.219,-39.062,-219.238,-42.480,0
1594888417.373,-70.312,-29.297,-189.453,-49.316,0
1594888417.377,-72.266,-20.020,-172.852,-65.430,0
1594888417.381,-78.613,-12.207,-159.180,-63.965,0
1594888417.385,-89.844,-11.719,-266.113,-64.453,0
1594888417.389,-87.891,-17.578,-227.539,-74.707,0
1594888417.393,-76.172,-26.367,-298.340,-70.801,0
1594888417.396,-78.125,-28.809,-526.855,-66.895,0
1594888417.400,-83.496,-16.602,-296.387,-74.219,0
1594888417.404,-78.125,-12.695,-120.605,-67.383,0
1594888417.408,-68.848,-11.719,3.418,-63.477,0
1594888417.412,-62.988,-14.648,-108.398,-61.035,0
1594888417.406,-67.383,-10.742,-219.238,-48.828,0
1594888417.410,-74.219,0.000,-48.340,-47.363,0
1594888417.414,-65.918,-4.883,20.508,-48.340,0
1594888417.418,-62.988,-14.160,-171.875,-48.828,0
1594888417.422,-80.078,-21.973,-392.578,-52.246,0
1594888417.426,-88.379,-26.855,-249.023,-51.270,0
1594888417.430,-79.102,-36.133,-157.227,-48.828,0
1594888417.433,-76.172,-38.086,29.297,-46.387,0
1594888417.437,-82.031,-37.598,-25.391,-48.828,0
1594888417.441,-83.496,-58.594,-445.312,-50.781,0
1594888417.445,-74.707,-41.016,-207.520,-50.293,0
1594888417.449,-65.430,-20.996,156.738,-52.734,0
1594888417.462,-71.289,-21.973,43.457,-52.734,0
1594888417.466,-79.102,-26.367,-104.980,-52.246,0
1594888417.470,-77.637,-21.973,-126.465,-50.293,0
1594888417.474,-70.312,-10.742,74.219,-54.688,0
1594888417.478,-67.383,-17.090,64.453,-62.012,0
1594888417.482,-69.824,-27.832,-240.723,-51.758,0
1594888417.486,-66.406,-25.879,-351.074,-40.039,0
1594888417.489,-55.176,-12.207,-101.562,-41.992,0
1594888417.493,-52.246,-14.648,186.035,-47.363,0
1594888417.497,-63.965,-25.391,155.273,-50.781,0
1594888417.501,-68.848,-18.555,53.223,-50.293,0
1594888417.505,-62.500,-14.160,-84.473,-50.781,0
1594888417.501,-64.941,-4.395,52.734,-52.246,0
1594888417.505,-73.242,-1.465,131.348,-53.223,0
1594888417.509,-77.637,-9.277,-48.828,-58.594,0
1594888417.513,-77.637,-2.930,-184.082,-57.129,0
1594888417.517,-81.055,6.348,-283.691,-55.176,0
1594888417.521,-90.332,-1.953,-233.398,-63.477,0
1594888417.525,-97.656,-9.766,-176.270,-72.266,0
1594888417.528,-96.680,-1.465,-44.922,-69.336,0
