timestamps,TP9,AF7,AF8,TP10,Marker0
1594888584.087,-28.320,-62.988,-312.500,-52.734,0
1594888584.091,-29.297,-267.090,-467.285,-51.758,0
1594888584.095,-18.066,-113.281,-427.734,-54.688,0
1594888584.099,-9.277,287.109,-145.020,-58.594,0
1594888584.102,-10.742,202.148,-50.293,-57.617,0
1594888584.106,-15.137,-39.551,-193.359,-51.758,0
1594888584.110,-9.277,-414.062,-441.895,-50.293,0
1594888584.114,-2.930,25.391,-273.926,-53.223,0
1594888584.118,-3.418,297.852,-122.070,-51.270,0
1594888584.116,-7.324,-140.137,-335.938,-52.734,0
1594888584.120,-10.254,-238.770,-399.902,-58.594,0
1594888584.124,-13.184,-20.508,-319.824,-63.477,0
1594888584.128,-8.301,288.574,-124.023,-61.035,0
1594888584.132,-1.465,29.785,-206.055,-60.547,0
1594888584.136,-10.742,-163.086,-336.426,-70.801,0
1594888584.140,-18.066,-227.051,-425.781,-67.871,0
1594888584.143,-7.812,-160.156,-446.777,-56.152,0
1594888584.147,-12.695,316.895,-187.012,-52.246,0
1594888584.151,-30.762,205.078,-187.500,-48.340,0
1594888584.155,-24.414,28.809,-210.938,-46.387,0
1594888584.159,-8.301,-55.664,-228.027,-44.922,0
1594888584.169,-5.859,-54.688,-268.066,-44.434,0
1594888584.173,-10.742,8.789,-297.852,-48.340,0
1594888584.177,-11.719,-142.578,-351.074,-44.434,0
1594888584.181,-3.906,-88.867,-335.938,-42.480,0
1594888584.185,-4.883,-343.262,-562.500,-43.945,0
1594888584.189,-15.625,-348.145,-647.949,-52.734,0
1594888584.193,-19.531,192.871,-406.738,-61.035,0
1594888584.196,-20.996,259.766,-334.961,-62.988,0
1594888584.200,-16.113,120.117,-363.770,-63.965,0
1594888584.204,-16.113,-240.234,-459.473,-56.641,0
1594888584.208,-20.508,11.719,-367.676,-57.129,0
1594888584.212,-20.996,270.020,-316.895,-62.988,0
1594888584.225,-10.254,115.234,-280.762,-54.199,0
1594888584.229,-5.371,-67.383,-297.852,-50.293,0
1594888584.233,-12.695,-256.836,-437.500,-53.711,0
1594888584.237,-2.441,21.484,-340.332,-46.875,0
1594888584.241,2.441,70.312,-274.414,-46.875,0
1594888584.245,-2.441,-50.293,-292.969,-49.805,0
1594888584.249,-3.906,-194.824,-438.965,-49.805,0
1594888584.252,-3.906,-358.887,-562.500,-46.387,0
1594888584.256,4.883,220.703,-270.996,-40.039,0
1594888584.260,1.465,402.344,-160.156,-43.945,0
1594888584.264,-13.672,12.207,-276.855,-54.688,0
1594888584.268,-15.625,-226.074,-366.699,-56.152,0
1594888584.263,-9.277,12.695,-276.855,-48.828,0
1594888584.267,-12.207,277.832,-127.930,-51.270,0
1594888584.271,-17.578,-51.270,-255.371,-52.246,0
1594888584.275,-19.043,-95.215,-374.023,-50.293,0
1594888584.279,-21.484,-146.484,-467.285,-53.711,0
1594888584.283,-16.113,-2.930,-395.508,-56.152,0
1594888584.287,-6.836,414.551,-184.570,-58.105,0
1594888584.290,-7.324,192.871,-293.945,-56.641,0
1594888584.294,-3.906,45.898,-315.918,-51.758,0
1594888584.298,8.301,-280.273,-459.961,-45.410,0
1594888584.302,8.789,-31.738,-426.758,-54.199,0
1594888584.306,1.953,447.266,-237.305,-67.383,0
1594888584.303,-9.766,234.375,-248.047,-67.871,0
1594888584.307,-9.277,-1.465,-297.363,-62.988,0
1594888584.311,-13.672,-24.414,-321.777,-64.453,0
1594888584.315,-17.578,189.453,-206.543,-72.266,0
1594888584.319,-17.090,-18.555,-316.895,-73.242,0
1594888584.323,-20.996,-104.492,-370.605,-61.035,0
1594888584.327,-15.137,-123.047,-426.758,-52.246,0
1594888584.330,-15.625,-65.918,-471.680,-66.406,0
1594888584.334,-22.461,301.758,-299.805,-73.242,0
1594888584.338,-11.230,282.715,-252.441,-63.477,0
1594888584.342,1.953,147.949,-262.207,-70.312,0
1594888584.346,-2.441,-114.258,-339.355,-68.359,0
1594888584.358,-10.742,-117.188,-353.516,-54.199,0
1594888584.362,-15.625,240.234,-248.535,-50.293,0
1594888584.366,-21.973,87.402,-261.230,-52.734,0
1594888584.370,-18.066,-76.172,-325.195,-59.082,0
1594888584.374,-7.812,-326.172,-511.230,-59.082,0
1594888584.378,-22.949,-325.684,-598.145,-65.430,0
1594888584.382,-33.203,367.676,-326.172,-66.895,0
1594888584.385,-29.297,469.238,-180.176,-60.547,0
1594888584.389,-45.898,-20.508,-324.707,-66.895,0
1594888584.393,-51.758,-410.645,-520.020,-63.477,0
1594888584.397,-53.223,-39.062,-450.684,-63.965,0
1594888584.401,-54.688,236.328,-347.656,-66.895,0
1594888584.413,-39.551,119.629,-313.477,-70.312,0
1594888584.417,-37.598,-108.398,-454.102,-74.219,0
1594888584.421,-37.598,-193.359,-519.531,-68.848,0
1594888584.425,-27.832,118.652,-357.910,-65.918,0
1594888584.429,-24.902,162.598,-305.176,-70.801,0
1594888584.433,-27.832,-127.930,-453.613,-79.102,0
1594888584.437,-21.484,-332.031,-614.258,-75.195,0
1594888584.440,-9.766,-352.539,-619.141,-67.871,0
1594888584.444,-11.719,188.965,-383.301,-66.406,0
1594888584.448,-16.113,297.363,-345.215,-65.430,0
1594888584.452,-21.973,57.617,-376.953,-68.848,0
1594888584.456,-18.555,-163.086,-420.410,-67.383,0
1594888584.450,-12.207,-20.508,-339.355,-73.730,0
1594888584.454,-14.648,188.477,-285.156,-80.566,0
1594888584.458,-14.648,-172.852,-470.703,-73.242,0
1594888584.462,-17.090,-122.559,-425.781,-69.336,0
1594888584.466,-23.438,-151.855,-450.684,-61.523,0
1594888584.470,-34.668,-118.164,-498.047,-53.711,0
1594888584.474,-42.480,40.527,-452.637,-51.270,0
1594888584.477,-44.922,112.793,-365.234,-53.223,0
1594888584.481,-31.250,240.234,-253.418,-54.199,0
1594888584.485,-24.902,-447.266,-568.848,-51.270,0
1594888584.489,-41.016,-384.766,-639.160,-51.758,0
1594888584.493,-45.898,416.504,-308.105,-56.641,0
1594888584.507,-32.227,436.035,-184.082,-62.500,0
1594888584.511,-21.484,116.699,-231.934,-69.336,0
1594888584.515,-26.855,-234.375,-408.203,-73.730,0
1594888584.519,-29.297,-74.219,-356.934,-74.707,0
1594888584.523,-15.137,16.602,-312.988,-67.871,0
1594888584.527,-13.184,-111.328,-380.859,-75.195,0
1594888584.531,-14.160,-218.262,-472.656,-69.336,0
1594888584.534,-10.254,-175.293,-529.297,-57.129,0
1594888584.538,-13.672,134.277,-381.836,-65.918,0
1594888584.542,-10.254,259.766,-292.969,-65.918,0
1594888584.546,-10.254,235.352,-265.137,-62.012,0
1594888584.550,-15.137,-286.133,-478.516,-58.105,0
1594888584.544,-19.043,-258.789,-520.020,-62.988,0
1594888584.548,-15.625,175.781,-333.496,-61.035,0
1594888584.552,-14.648,45.898,-332.520,-56.641,0
1594888584.556,-17.578,-56.152,-384.766,-59.082,0
1594888584.560,-21.484,-254.883,-490.234,-55.176,0
1594888584.564,-23.926,-73.730,-407.715,-50.293,0
1594888584.568,-15.625,346.191,-248.535,-52.246,0
1594888584.571,-15.137,278.320,-264.160,-48.828,0
1594888584.575,-26.367,94.727,-320.312,-57.617,0
1594888584.579,-21.973,-279.785,-468.750,-53.223,0
1594888584.583,-14.160,90.820,-325.195,-47.852,0
1594888584.587,-22.461,235.840,-281.738,-62.988,0
1594888584.585,-26.855,73.242,-312.500,-61.523,0
1594888584.589,-19.531,52.246,-316.406,-55.176,0
1594888584.593,-15.137,-129.395,-396.973,-60.059,0
1594888584.597,-23.926,158.203,-289.062,-76.660,0
1594888584.601,-31.250,103.516,-336.914,-78.613,0
1594888584.605,-24.414,-71.777,-404.785,-69.336,0
1594888584.609,-12.207,-153.809,-485.352,-66.406,0
1594888584.612,-13.184,-59.570,-508.301,-61.035,0
1594888584.616,-19.531,315.430,-345.215,-60.059,0
1594888584.620,-16.602,291.016,-308.594,-62.988,0
1594888584.624,-6.836,265.625,-229.980,-64.941,0
1594888584.628,-17.090,74.707,-273.438,-66.895,0
1594888584.639,-31.250,47.363,-306.152,-62.012,0
1594888584.643,-28.320,111.816,-300.293,-58.105,0
1594888584.647,-21.484,-27.344,-295.898,-60.059,0
1594888584.651,-8.789,-14.648,-272.461,-55.664,0
1594888584.655,-13.672,-345.703,-475.098,-53.711,0
1594888584.659,-25.879,-424.805,-590.332,-47.363,0
1594888584.663,-32.227,252.930,-343.262,-50.781,0
1594888584.666,-37.109,474.609,-164.062,-60.547,0
1594888584.670,-40.527,211.426,-217.773,-60.547,0
1594888584.674,-47.852,-204.590,-431.152,-50.293,0
1594888584.678,-50.781,145.996,-308.594,-51.758,0
1594888584.682,-38.086,433.105,-214.844,-53.711,0
1594888584.694,-36.621,244.141,-251.953,-52.246,0
1594888584.698,-41.992,119.141,-302.246,-55.664,0
1594888584.702,-43.457,27.832,-363.281,-55.176,0
1594888584.706,-39.551,244.141,-246.582,-68.359,0
1594888584.710,-26.367,137.207,-333.008,-71.289,0
1594888584.714,-18.555,-9.277,-392.578,-67.871,0
1594888584.718,-20.508,-85.449,-456.055,-67.383,0
1594888584.721,-23.926,-290.039,-630.371,-63.477,0
1594888584.725,-23.926,346.191,-296.875,-61.523,0
1594888584.729,-24.902,523.438,-154.785,-61.523,0
1594888584.733,-27.344,130.859,-294.922,-60.547,0
1594888584.737,-23.926,-41.504,-307.129,-48.340,0
1594888584.731,-15.625,94.238,-248.535,-49.805,0
1594888584.735,-6.348,170.410,-280.273,-59.570,0
1594888584.739,-11.230,-140.137,-398.926,-58.105,0
1594888584.743,-13.184,-39.551,-353.516,-61.523,0
1594888584.747,-7.324,-182.617,-464.355,-62.988,0
1594888584.751,-13.184,-29.297,-409.668,-60.059,0
1594888584.755,-24.902,315.430,-245.117,-61.523,0
1594888584.758,-33.691,-68.848,-430.664,-63.477,0
1594888584.762,-26.367,-44.434,-401.367,-64.941,0
1594888584.766,-28.809,-271.973,-515.625,-67.383,0
1594888584.770,-38.574,-145.996,-528.809,-62.500,0
1594888584.774,-40.039,455.078,-250.488,-61.523,0
1594888584.788,-41.016,267.578,-236.328,-65.918,0
1594888584.792,-28.320,15.137,-270.020,-54.688,0
1594888584.796,-21.484,-61.523,-309.082,-49.805,0
1594888584.800,-32.227,47.852,-293.457,-52.246,0
1594888584.804,-38.086,-64.941,-343.262,-48.828,0
1594888584.808,-28.320,-42.969,-317.871,-48.340,0
1594888584.812,-23.926,-213.379,-457.031,-45.898,0
1594888584.815,-28.320,-318.848,-552.734,-49.805,0
1594888584.819,-37.598,228.516,-289.551,-60.059,0
1594888584.823,-40.527,276.367,-253.418,-64.941,0
1594888584.827,-39.062,26.367,-281.250,-71.777,0
1594888584.831,-42.969,-398.926,-499.023,-74.707,0
1594888584.825,-49.316,-150.879,-458.008,-76.172,0
1594888584.829,-46.875,340.332,-214.355,-68.848,0
1594888584.833,-42.480,5.371,-302.734,-60.059,0
1594888584.837,-41.504,-67.383,-333.496,-62.988,0
1594888584.841,-38.086,-331.055,-507.324,-56.641,0
1594888584.845,-41.016,-298.828,-536.621,-57.617,0
1594888584.849,-34.180,343.750,-232.910,-59.570,0
1594888584.852,-26.367,258.301,-240.723,-59.082,0
1594888584.856,-34.668,-16.113,-316.406,-65.430,0
1594888584.860,-35.156,-453.125,-494.629,-64.453,0
1594888584.864,-26.855,-145.996,-422.852,-65.918,0
1594888584.868,-35.645,333.984,-238.281,-65.918,0
1594888584.866,-54.199,126.465,-254.883,-68.359,0
1594888584.870,-52.734,-190.430,-368.652,-71.289,0
1594888584.874,-51.758,-187.988,-394.043,-77.637,0
1594888584.878,-58.594,235.840,-206.543,-78.613,0
1594888584.882,-53.223,72.266,-283.691,-77.148,0
1594888584.886,-53.223,-195.801,-392.578,-78.613,0
1594888584.890,-45.410,-265.137,-485.352,-72.754,0
1594888584.893,-32.715,-114.746,-448.242,-67.383,2
1594888584.897,-32.227,291.504,-230.957,-59.570,0
1594888584.901,-40.039,179.199,-271.973,-61.035,0
1594888584.905,-41.504,-38.086,-333.984,-68.359,0
1594888584.909,-29.785,-116.211,-299.316,-59.570,0
1594888584.919,-36.621,3.418,-247.070,-56.641,0
1594888584.923,-51.270,5.859,-332.031,-62.500,0
1594888584.927,-52.734,-242.676,-428.223,-63.965,0
1594888584.931,-44.922,-143.066,-384.277,-63.965,0
1594888584.935,-32.715,-263.672,-479.492,-57.129,0
1594888584.939,-27.832,-440.430,-608.887,-53.223,0
1594888584.943,-31.738,224.121,-375.000,-71.289,0
1594888584.946,-24.902,487.793,-221.191,-77.637,0
1594888584.950,-19.531,165.527,-266.113,-67.383,0
1594888584.954,-16.602,-107.422,-343.262,-66.406,0
1594888584.958,-23.926,5.859,-324.219,-65.430,0
1594888584.962,-28.320,84.961,-306.152,-62.012,0
1594888584.975,-17.578,131.836,-225.098,-62.988,0
1594888584.979,-16.113,-104.004,-327.637,-63.477,0
1594888584.983,-27.832,-284.180,-432.129,-62.988,0
1594888584.987,-26.855,-7.324,-306.641,-57.617,0
1594888584.991,-17.090,24.414,-287.109,-48.828,0
1594888584.995,-17.090,-72.754,-321.777,-46.875,0
1594888584.999,-22.461,-323.730,-502.441,-52.734,0
1594888585.002,-31.738,-550.781,-647.949,-54.199,0
1594888585.006,-22.461,132.324,-336.914,-46.387,0
1594888585.010,-15.625,467.285,-196.777,-53.223,0
1594888585.014,-25.879,103.516,-284.668,-63.965,0
1594888585.018,-23.438,-194.336,-351.074,-59.570,0
1594888585.013,-14.648,-3.906,-268.555,-72.754,0
1594888585.017,-1.953,341.797,7.812,-76.660,0
1594888585.021,-2.930,-102.539,-207.031,-61.523,0
1594888585.025,-15.137,-265.625,-435.059,-58.594,0
1594888585.029,-21.973,-350.586,-486.328,-48.828,0
1594888585.033,-18.555,-216.797,-475.098,-48.828,0
1594888585.037,-10.742,169.922,-342.773,-49.805,0
1594888585.040,-16.113,156.738,-339.844,-47.363,0
1594888585.044,-24.414,182.129,-303.711,-57.129,0
1594888585.048,-29.297,-291.992,-448.730,-61.035,0
1594888585.052,-30.273,-151.855,-437.012,-63.477,0
1594888585.056,-34.180,320.312,-302.734,-68.359,0
1594888585.053,-42.969,211.914,-280.273,-64.453,0
1594888585.057,-39.062,57.129,-276.367,-55.664,0
1594888585.061,-35.156,-70.312,-292.480,-50.781,0
1594888585.065,-41.504,159.180,-211.914,-49.805,0
1594888585.069,-45.898,12.695,-333.496,-49.316,0
1594888585.073,-42.969,-116.211,-366.211,-52.246,0
1594888585.077,-36.133,-140.137,-413.574,-44.922,0
1594888585.080,-30.762,-247.559,-529.297,-38.086,0
1594888585.084,-30.273,199.707,-332.520,-48.340,0
1594888585.088,-27.344,244.141,-305.664,-48.828,0
1594888585.092,-13.184,177.734,-261.230,-48.828,0
1594888585.096,-11.230,24.414,-279.297,-59.570,0
1594888585.108,-17.578,-207.520,-440.430,-62.012,0
1594888585.112,-11.719,-7.812,-415.527,-59.082,0
1594888585.116,-0.488,105.957,-317.383,-54.688,0
1594888585.120,0.977,119.141,-277.344,-59.570,0
1594888585.124,-4.883,-224.609,-482.910,-61.035,0
1594888585.128,-1.465,-354.004,-611.816,-47.363,0
1594888585.132,5.371,312.500,-341.797,-50.293,0
1594888585.135,2.930,575.195,-155.273,-47.852,0
1594888585.139,-16.602,262.207,-238.281,-42.969,0
1594888585.143,-38.574,-346.191,-456.543,-43.945,0
1594888585.147,-40.039,-63.477,-340.820,-45.898,0
1594888585.151,-25.391,322.266,-245.605,-47.363,0
1594888585.163,-16.602,133.789,-278.809,-57.617,0
1594888585.167,-18.555,-138.672,-397.949,-62.500,0
1594888585.171,-10.254,-101.562,-391.602,-62.012,0
1594888585.175,-4.883,175.293,-256.836,-61.035,0
1594888585.179,-14.160,27.344,-339.844,-67.871,0
1594888585.183,-12.695,-102.539,-413.086,-74.219,0
1594888585.187,-11.230,-229.492,-500.977,-65.430,0
1594888585.190,-9.766,-476.562,-661.621,-58.105,0
1594888585.194,-6.348,239.746,-345.215,-61.035,0
1594888585.198,-13.672,562.012,-180.664,-59.570,0
1594888585.202,-31.250,104.492,-342.285,-55.176,0
1594888585.206,-33.203,-37.109,-282.715,-55.176,0
1594888585.200,-22.461,7.324,-249.023,-43.457,0
1594888585.204,-23.438,91.797,-309.082,-39.062,0
1594888585.208,-26.367,-121.582,-418.945,-41.504,0
1594888585.212,-26.855,-52.246,-416.504,-41.504,0
1594888585.216,-19.531,-75.195,-402.832,-41.016,0
1594888585.220,-20.996,-55.664,-418.457,-39.551,0
1594888585.224,-24.414,96.680,-388.184,-46.387,0
1594888585.227,-22.949,206.055,-294.434,-43.457,0
1594888585.231,-16.602,374.512,-177.246,-36.621,0
1594888585.235,-23.438,-327.637,-485.840,-34.180,0
1594888585.239,-40.039,-313.965,-553.711,-42.480,0
1594888585.243,-34.180,413.574,-306.641,-46.875,0
1594888585.256,-28.320,452.148,-198.730,-45.898,0
1594888585.260,-26.855,96.191,-250.488,-53.223,0
1594888585.264,-27.832,-64.941,-318.359,-60.059,0
1594888585.268,-27.832,104.004,-250.000,-62.500,0
