timestamps,TP9,AF7,AF8,TP10,Marker0
1594889095.669,-30.273,377.441,213.379,-50.293,0
1594889095.673,-29.785,426.270,108.398,-49.316,0
1594889095.677,-20.020,85.938,-50.293,-36.621,0
1594889095.681,-14.648,-14.648,-18.066,-34.180,0
1594889095.685,-12.207,195.801,123.535,-38.574,0
1594889095.689,-14.648,52.246,35.645,-36.621,0
1594889095.693,-26.855,-184.082,-99.121,-27.344,0
1594889095.696,-30.762,-111.328,-112.305,-20.508,0
1594889095.700,-20.996,-707.031,-380.859,-11.719,0
1594889095.704,-18.555,-671.875,-246.094,-12.695,0
1594889095.708,-26.855,93.750,90.332,-25.391,0
1594889095.712,-26.855,185.547,70.801,-29.297,0
1594889095.726,-30.273,-197.754,-126.465,-33.691,0
1594889095.730,-33.691,-444.824,-145.996,-37.109,0
1594889095.734,-36.621,69.336,114.746,-43.457,0
1594889095.738,-41.016,206.543,55.176,-54.688,0
1594889095.742,-34.668,111.328,62.500,-61.035,0
1594889095.746,-24.414,-308.105,-153.809,-51.270,0
1594889095.750,-27.344,-434.082,-198.242,-44.922,0
1594889095.753,-29.297,86.426,65.918,-58.105,0
1594889095.757,-25.391,240.234,94.727,-63.965,0
1594889095.761,-26.855,218.262,111.328,-63.477,0
1594889095.765,-25.391,-217.285,-64.941,-57.129,0
1594889095.769,-23.926,-172.852,-17.090,-45.898,0
1594889095.763,-26.367,247.070,103.516,-40.527,0
1594889095.767,-28.320,218.750,100.586,-32.227,0
1594889095.771,-28.809,104.004,64.453,-21.973,0
1594889095.775,-37.109,-150.879,-82.520,-28.320,0
1594889095.779,-41.992,-94.727,-82.031,-25.879,0
1594889095.783,-46.387,-303.711,-241.211,-16.113,0
1594889095.787,-49.805,-312.012,-158.691,-16.113,0
1594889095.790,-50.293,-190.430,-36.133,-29.297,0
1594889095.794,-56.641,-858.887,-472.656,-33.203,0
1594889095.798,-54.688,-757.812,-400.391,-24.902,0
1594889095.802,-41.504,118.652,79.590,-19.531,0
1594889095.806,-37.598,322.266,114.746,-26.855,0
