timestamps,TP9,AF7,AF8,TP10,Marker0
1594888781.683,-12.695,-865.723,-386.719,-34.180,0
1594888781.687,-12.207,-917.480,-354.004,-46.387,0
1594888781.691,-14.648,-999.023,-451.660,-51.758,0
1594888781.695,-8.789,-920.410,-465.332,-48.340,0
1594888781.699,-8.789,-746.094,-265.137,-48.828,0
1594888781.703,-15.137,-913.086,-527.344,-47.852,0
1594888781.707,-22.461,-1000.000,-674.316,-46.387,0
1594888781.710,-25.391,-796.875,-343.262,-44.922,0
1594888781.714,-13.672,-503.418,-239.258,-41.992,0
1594888781.718,-8.301,-651.855,-338.379,-35.645,0
1594888781.722,-10.742,-881.348,-413.574,-27.832,0
1594888781.726,-15.137,-863.281,-396.973,-32.715,0
1594888781.721,-21.484,-811.035,-341.309,-35.645,0
1594888781.725,-21.484,-728.027,-316.406,-29.785,0
1594888781.729,-25.391,-893.066,-393.555,-33.203,0
1594888781.733,-27.344,-946.777,-399.902,-40.039,0
1594888781.737,-22.461,-945.312,-396.973,-46.387,0
1594888781.741,-16.113,-969.238,-392.578,-51.758,0
1594888781.745,-13.184,-957.031,-342.285,-49.805,0
1594888781.748,-17.090,-994.141,-583.984,-45.410,0
1594888781.752,-16.113,-1000.000,-687.012,-44.922,0
1594888781.756,-10.742,-875.488,-332.520,-40.039,0
1594888781.760,-15.625,-576.172,-224.121,-32.227,0
1594888781.764,-29.785,-595.215,-348.633,-29.297,0
1594888781.775,-29.297,-790.527,-376.953,-21.973,0
1594888781.779,-20.508,-895.508,-353.027,-16.113,0
1594888781.783,-19.043,-935.547,-370.605,-18.066,0
1594888781.787,-20.020,-724.121,-331.055,-20.508,0
1594888781.791,-24.414,-737.793,-348.633,-17.090,0
1594888781.795,-25.391,-993.652,-513.672,-5.859,0
1594888781.799,-17.090,-832.520,-472.656,-0.488,0
1594888781.802,-15.137,-680.664,-266.602,-3.418,0
1594888781.806,-18.066,-632.812,-291.016,-4.395,0
