timestamps,TP9,AF7,AF8,TP10,Marker0
1594888271.643,-95.215,-33.691,-267.090,-170.410,0
1594888271.647,-81.055,-29.297,-330.078,-169.434,0
1594888271.651,-63.477,-24.902,-337.402,-163.086,0
1594888271.655,-64.941,-21.484,-193.359,-160.645,0
1594888271.659,-79.102,-21.484,-285.645,-151.855,0
1594888271.663,-85.938,-25.391,-273.438,-147.461,0
1594888271.667,-81.055,-29.785,-354.492,-146.973,0
1594888271.670,-82.520,-31.250,-587.891,-149.414,0
1594888271.674,-100.098,-31.250,-419.434,-148.926,0
1594888271.678,-103.027,-31.250,-206.543,-140.137,0
1594888271.682,-84.473,-35.645,-135.254,-138.672,0
1594888271.686,-83.008,-33.203,-250.000,-125.000,0
1594888271.681,-97.656,-27.344,-348.145,-111.328,0
1594888271.685,-90.332,-21.484,-281.738,-101.562,0
1594888271.689,-74.219,-21.973,-204.102,-96.191,0
1594888271.693,-70.801,-25.879,-95.215,-99.121,0
1594888271.697,-81.543,-25.391,-213.379,-101.562,0
1594888271.701,-83.984,-23.926,-345.703,-103.516,0
1594888271.705,-70.312,-24.414,-276.855,-100.586,0
1594888271.708,-75.195,-27.344,-207.520,-99.609,0
1594888271.712,-90.332,-27.344,-249.023,-107.910,0
1594888271.716,-103.516,-26.855,-367.676,-109.863,0
1594888271.720,-106.934,-30.273,-309.082,-109.863,0
1594888271.724,-93.262,-30.762,-110.352,-107.910,0
1594888271.737,-86.426,-26.855,-31.250,-99.609,0
1594888271.741,-98.633,-28.809,-357.422,-104.492,0
1594888271.745,-96.680,-31.738,-454.102,-109.863,0
1594888271.749,-82.031,-30.273,-222.656,-112.793,0
1594888271.753,-80.566,-27.344,-215.820,-114.258,0
1594888271.757,-82.520,-21.973,-288.574,-107.910,0
1594888271.761,-81.543,-21.973,-454.102,-99.609,0
1594888271.764,-75.684,-23.438,-558.594,-94.727,0
1594888271.768,-76.660,-16.113,-272.461,-103.027,0
1594888271.772,-88.379,-15.137,-164.551,-108.398,0
1594888271.776,-91.797,-19.531,-306.641,-112.305,0
1594888271.780,-81.543,-18.555,-343.262,-111.816,0
1594888271.776,-64.453,-17.090,-274.902,-106.445,0
1594888271.780,-68.359,-18.066,-315.430,-106.445,0
1594888271.784,-78.613,-19.043,-332.520,-101.562,0
1594888271.788,-74.219,-17.578,-325.684,-89.355,0
1594888271.792,-70.801,-17.090,-334.961,-85.449,0
1594888271.796,-79.102,-22.949,-294.922,-95.215,0
1594888271.800,-86.426,-26.855,-286.621,-96.191,0
1594888271.803,-82.520,-22.949,-223.145,-90.820,0
1594888271.807,-69.336,-22.461,-229.980,-96.191,0
1594888271.811,-67.871,-30.762,-382.324,-92.773,0
1594888271.815,-77.148,-30.273,-366.699,-90.332,0
1594888271.819,-87.402,-34.180,-307.129,-95.703,0
1594888271.831,-84.473,-35.645,-189.941,-93.262,0
1594888271.835,-90.332,-27.344,-278.320,-89.355,0
1594888271.839,-109.375,-30.273,-357.910,-92.773,0
1594888271.843,-110.840,-32.227,-254.883,-91.309,0
1594888271.847,-104.004,-38.086,-286.133,-93.750,0
1594888271.851,-94.727,-37.109,-242.188,-88.867,0
1594888271.855,-95.215,-34.180,-373.047,-82.520,0
1594888271.858,-110.352,-36.133,-671.387,-89.844,0
1594888271.862,-106.934,-32.227,-481.934,-92.285,0
1594888271.866,-92.773,-34.668,-59.570,-87.891,0
1594888271.870,-94.727,-39.551,22.461,-93.750,0
1594888271.874,-107.422,-37.598,-185.059,-94.727,0
1594888271.887,-96.680,-33.691,-271.973,-86.426,0
1594888271.891,-82.031,-32.715,-145.020,-82.031,0
1594888271.895,-83.008,-35.645,25.879,-89.355,1
1594888271.899,-83.496,-32.715,-26.367,-91.797,0
1594888271.903,-85.449,-28.320,-253.418,-86.426,0
1594888271.907,-79.590,-29.785,-256.836,-88.379,0
1594888271.911,-78.125,-35.156,-282.227,-99.609,0
1594888271.914,-89.355,-37.598,-226.562,-102.539,0
1594888271.918,-91.797,-40.039,-125.488,-97.168,0
1594888271.922,-91.309,-42.480,-426.758,-98.145,0
1594888271.926,-85.938,-36.621,-416.992,-95.703,0
1594888271.930,-83.496,-36.133,-196.289,-84.961,0
1594888271.925,-103.516,-41.016,-214.355,-85.938,0
1594888271.929,-106.445,-36.621,-271.973,-82.520,0
1594888271.933,-90.820,-35.156,-280.762,-77.637,0
1594888271.937,-94.238,-36.133,-197.266,-79.102,0
1594888271.941,-111.328,-32.715,-320.312,-69.824,0
1594888271.945,-115.234,-34.180,-404.785,-67.383,0
1594888271.949,-99.609,-37.109,-356.934,-64.453,0
1594888271.952,-89.844,-34.668,-247.070,-67.871,0
1594888271.956,-96.191,-36.133,-193.848,-68.359,0
1594888271.960,-108.887,-35.645,-309.082,-55.664,0
1594888271.964,-109.375,-30.762,-239.746,-52.734,0
1594888271.968,-100.098,-31.738,-295.898,-52.246,0
1594888271.962,-100.098,-32.715,-652.832,-50.781,0
1594888271.966,-107.910,-32.227,-537.109,-63.477,0
1594888271.970,-95.703,-31.738,-164.551,-85.938,0
1594888271.974,-77.148,-30.273,-187.012,-104.004,0
1594888271.978,-85.449,-31.738,-347.168,-98.145,0
1594888271.982,-83.496,-29.297,-381.348,-80.566,0
1594888271.986,-87.891,-28.320,-350.098,-90.820,0
1594888271.989,-90.332,-25.879,-149.902,-95.703,0
1594888271.993,-82.520,-33.691,-146.973,-87.402,0
1594888271.997,-102.051,-40.039,-433.594,-99.121,0
1594888272.001,-113.281,-35.645,-275.391,-122.559,0
1594888272.005,-96.680,-35.645,-150.391,-135.742,0
1594888272.018,-84.473,-33.691,-231.934,-129.395,0
1594888272.022,-89.355,-32.715,-361.816,-123.047,0
1594888272.026,-92.773,-38.086,-415.039,-124.512,0
1594888272.030,-83.984,-40.039,-212.891,-117.188,0
1594888272.034,-80.566,-37.598,-236.816,-125.488,0
1594888272.038,-91.797,-32.227,-281.250,-140.625,0
1594888272.042,-101.074,-29.785,-422.363,-134.766,0
1594888272.045,-105.957,-38.086,-502.930,-131.348,0
1594888272.049,-92.773,-40.039,-203.613,-132.812,0
1594888272.053,-85.938,-35.156,-237.305,-131.348,0
1594888272.057,-110.840,-37.598,-371.094,-140.137,0
1594888272.061,-106.445,-42.480,-451.172,-139.160,0
1594888272.056,-84.473,-38.574,-361.328,-137.207,0
1594888272.060,-83.496,-30.273,-215.820,-138.184,0
1594888272.064,-97.168,-28.809,-267.090,-130.371,0
1594888272.068,-104.004,-30.762,-404.785,-133.301,0
1594888272.072,-93.262,-31.738,-440.430,-140.137,0
1594888272.076,-93.750,-29.297,-357.422,-138.184,0
1594888272.080,-97.168,-29.297,-349.121,-136.230,0
1594888272.083,-93.262,-31.250,-306.152,-141.113,0
1594888272.087,-74.219,-27.832,-332.031,-144.043,0
1594888272.091,-62.012,-30.273,-379.883,-141.602,0
1594888272.095,-73.242,-29.785,-261.230,-150.391,0
1594888272.099,-73.730,-25.879,-261.230,-149.902,0
1594888272.112,-73.730,-31.738,-202.637,-142.090,0
1594888272.116,-80.566,-32.227,-229.004,-148.926,0
1594888272.120,-83.984,-29.297,-325.195,-145.508,0
1594888272.124,-89.355,-33.203,-299.316,-140.137,0
1594888272.128,-86.914,-31.738,-341.797,-144.531,0
1594888272.132,-76.660,-33.203,-331.055,-141.602,0
1594888272.136,-82.520,-40.039,-392.090,-140.137,0
1594888272.139,-96.680,-40.039,-578.125,-142.578,0
1594888272.143,-101.562,-37.598,-369.629,-145.996,0
1594888272.147,-92.773,-32.715,-126.465,-149.902,0
1594888272.151,-84.473,-28.320,-187.500,-149.902,0
1594888272.155,-99.609,-31.738,-356.445,-143.066,0
1594888272.150,-109.375,-34.668,-384.766,-135.254,0
1594888272.154,-91.309,-29.785,-110.840,-128.906,0
1594888272.158,-74.707,-29.297,101.562,-119.629,0
1594888272.162,-71.289,-31.250,-62.988,-110.352,0
1594888272.166,-76.660,-31.250,-310.059,-111.816,0
1594888272.170,-85.449,-32.715,-388.184,-119.629,0
1594888272.174,-82.031,-34.180,-322.266,-128.906,0
1594888272.177,-73.242,-35.156,-228.516,-138.184,0
1594888272.181,-80.566,-31.250,-302.734,-139.648,0
1594888272.185,-89.355,-28.809,-537.598,-114.258,0
1594888272.189,-85.449,-30.762,-420.898,-96.191,0
1594888272.193,-88.379,-31.250,-228.516,-92.285,0
1594888272.206,-103.027,-34.180,-290.527,-82.031,0
1594888272.210,-98.145,-33.203,-429.688,-84.473,0
1594888272.214,-79.590,-29.785,-407.715,-88.867,0
1594888272.218,-74.707,-31.738,-147.461,-91.309,0
1594888272.222,-72.754,-30.273,-240.234,-87.891,0
1594888272.226,-87.402,-26.855,-372.070,-85.449,0
1594888272.230,-95.703,-27.344,-501.953,-102.051,0
1594888272.233,-78.613,-29.297,-516.602,-112.793,0
1594888272.237,-76.172,-26.855,-13.672,-121.582,0
1594888272.241,-83.008,-25.879,97.656,-131.836,0
1594888272.245,-75.195,-26.367,-145.996,-131.348,0
1594888272.249,-63.477,-24.902,-338.379,-136.719,0
1594888272.245,-72.266,-30.273,-263.184,-140.137,0
1594888272.249,-94.238,-32.715,-97.656,-127.930,0
1594888272.253,-101.562,-39.551,-57.617,-120.117,0
1594888272.257,-90.332,-38.574,-166.016,-126.465,0
1594888272.261,-92.285,-30.762,-369.141,-131.348,0
1594888272.265,-103.027,-30.273,-369.141,-123.047,0
1594888272.269,-98.633,-32.227,-320.801,-115.234,0
1594888272.272,-83.496,-34.180,-226.074,-125.488,0
