timestamps,TP9,AF7,AF8,TP10,Marker0
1594888945.088,-59.082,-22.461,1.953,-34.668,0
1594888945.092,-46.875,-583.008,-278.809,-26.855,0
1594888945.096,-36.621,-360.352,-62.500,-27.344,0
1594888945.100,-37.109,-25.879,-13.672,-28.320,0
1594888945.104,-42.969,-129.395,-185.059,-31.738,0
1594888945.108,-37.598,-315.430,-205.078,-41.992,0
1594888945.112,-32.227,-854.980,-404.785,-47.363,0
1594888945.115,-36.133,-489.746,-244.141,-52.246,0
1594888945.119,-31.738,-9.277,-62.012,-45.898,0
1594888945.123,-20.020,-122.559,-171.875,-35.156,0
1594888945.127,-20.996,-392.090,-289.062,-40.527,0
1594888945.131,-27.832,-316.895,-148.438,-39.551,0
1594888945.127,-32.227,-97.656,-40.527,-33.691,0
1594888945.131,-38.086,-278.320,-157.715,-31.250,0
1594888945.135,-36.621,0.000,44.922,-29.785,0
1594888945.139,-33.691,-88.867,-20.508,-33.203,0
1594888945.143,-29.785,-164.551,-69.824,-43.457,0
1594888945.147,-27.344,-99.609,-30.273,-43.457,0
1594888945.151,-33.691,-96.680,-2.930,-40.039,0
1594888945.154,-35.156,495.605,223.145,-42.969,0
1594888945.158,-36.133,-41.992,-108.887,-39.551,0
1594888945.162,-43.945,-732.910,-250.000,-31.250,0
1594888945.166,-39.551,-56.641,89.355,-25.879,0
1594888945.170,-37.109,466.797,200.684,-28.320,0
1594888945.182,-34.180,363.281,112.305,-27.344,0
1594888945.186,-37.109,-333.984,-221.680,-33.691,0
1594888945.190,-35.645,-172.363,-62.012,-41.992,0
1594888945.194,-21.973,-32.715,56.641,-50.781,0
1594888945.198,-22.949,-124.023,3.418,-56.152,0
1594888945.202,-29.785,-345.703,-238.770,-49.805,0
1594888945.206,-35.156,-919.434,-537.598,-47.363,0
1594888945.209,-34.668,-486.816,-160.156,-49.805,0
1594888945.213,-32.227,122.070,141.602,-48.828,0
1594888945.217,-41.016,127.441,74.707,-39.062,0
1594888945.221,-40.527,-167.480,-108.398,-34.668,0
1594888945.225,-34.668,-195.312,-104.492,-44.434,0
1594888945.219,-42.969,127.441,113.281,-45.898,0
1594888945.223,-46.875,74.707,26.855,-38.574,0
